# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface mass flux
# Region: west
# Functional: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcq cell
# Region: BTC obs
# Functional: point
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcc seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcq last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: water content last column
# Region: BTC all
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcq seepage cell
# Region: BTC seepage cell
# Functional: point
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: tcq seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# =============================================================================
"time [s]" "subsurface mass flux" "tcq cell tracer1" "tcq cell tracer2" "tcq cell H2O_old" "tcq cell H2O_new" "tcc last column tracer1" "tcc last column tracer2" "tcc seepage tracer1" "tcc seepage tracer2" "tcq last column tracer1" "tcq last column tracer2" "tcq last column H2O_old" "tcq last column H2O_new" "water content last column" "tcq seepage cell tracer1" "tcq seepage cell tracer2" "tcq seepage cell H2O_old" "tcq seepage cell H2O_new" "tcq seepage tracer1" "tcq seepage tracer2" "tcq seepage H2O_old" "tcq seepage H2O_new"
1.260000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.320000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.380000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.440000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.500000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.560000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.620000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.680000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.740000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
1.800000000000e+03 8.065742119111e+03 nan nan nan nan 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.129503580829e+06 5.129503580829e+06 5.129503580829e+06 0.000000000000e+00 0.000000000000e+00 4.979761920000e+05 4.979761919958e+05 0.000000000000e+00 0.000000000000e+00 1.493928576000e+07 1.493928575968e+07
